scientificName_query,n_records,n_years
Anthias nicholsi,21,4
Aporops bilinearis,28,5
Cephalopholis spiloparaea,510,20
Choranthias salmopunctatus,2,0
Choranthias tenuis,2,1
Diplectrum radiale,8,5
Epinephelus chabaudi,5,2
Epinephelus erythrurus,4,0
Epinephelus heniochus,1,0
Liopropoma latifasciatum,6,3
Liopropoma lunulatum,1,0
Liopropoma pallidum,1,1
Liopropoma rubre,93,20
Mycteroperca microlepis,208,9
Plectranthias alcocki,1,0
Plectranthias longimanus,111,14
Pseudanthias connelli,8,2
Pseudanthias evansi,7,2
Pseudanthias fasciatus,17,8
Pseudanthias hawaiiensis,3,2
Pseudanthias mooreanus,7,0
Rypticus subbifrenatus,23,4
Serranus heterurus,9,3
Serranus pulcher,8,2
